2018-02-05 21:23:26,714,219,1009
2018-02-05 21:23:27,301,232,1009
2018-02-05 21:23:28,479,216,1011
2018-02-05 21:23:29,749,194,1009
2018-02-05 21:23:30,397,171,1009
2018-02-05 21:23:31,431,163,1017
2018-02-05 21:23:32,515,30,1009
2018-02-05 21:23:33,515,34,1009
2018-02-05 21:23:34,513,29,1009
2018-02-05 21:23:35,518,30,1009
2018-02-05 21:23:36,506,41,1009
2018-02-05 21:23:37,514,32,1009
2018-02-05 21:23:38,517,32,1009
2018-02-05 21:23:39,510,34,1009
2018-02-05 21:23:40,522,31,1009
2018-02-05 21:23:41,514,32,1009
2018-02-05 21:23:42,523,36,1009
2018-02-05 21:23:43,515,30,1009
2018-02-05 21:23:44,490,37,1010
2018-02-05 21:23:45,509,36,1009
2018-02-05 21:23:46,510,46,1009
2018-02-05 21:23:47,509,32,1009
2018-02-05 21:23:48,506,36,1009
2018-02-05 21:23:49,522,29,1009
2018-02-05 21:23:50,509,31,1009
2018-02-05 21:23:51,519,36,1009
2018-02-05 21:23:52,516,30,1009
2018-02-05 21:23:53,524,33,1009
2018-02-05 21:23:54,531,33,1011
2018-02-05 21:23:55,518,31,1009
2018-02-05 21:23:56,520,33,1009
2018-02-05 21:23:57,459,30,1010
2018-02-05 21:23:58,514,31,1009
2018-02-05 21:23:59,520,34,1009
2018-02-05 21:24:00,510,30,1009
2018-02-05 21:24:01,518,31,1009
2018-02-05 21:24:02,508,34,1009
2018-02-05 21:24:03,507,30,1009
2018-02-05 21:24:04,518,31,1009
2018-02-05 21:24:05,522,34,1009
2018-02-05 21:24:06,512,31,1009
2018-02-05 21:24:07,362,211,1009
2018-02-05 21:24:08,606,78,1009
2018-02-05 21:24:09,517,186,1009
2018-02-05 21:24:10,315,161,1009
2018-02-05 21:24:11,565,117,1012
2018-02-05 21:24:12,575,50,1009
2018-02-05 21:24:13,551,32,1009
2018-02-05 21:24:14,515,42,1009
2018-02-05 21:24:15,511,29,1009
2018-02-05 21:24:16,518,34,1009
2018-02-05 21:24:17,513,30,1009
2018-02-05 21:24:18,520,32,1009
2018-02-05 21:24:19,513,35,1009
2018-02-05 21:24:20,428,67,1009
2018-02-05 21:24:21,469,196,1009
2018-02-05 21:24:22,345,127,1009
2018-02-05 21:24:23,599,121,1009
2018-02-05 21:24:24,481,66,1009
2018-02-05 21:24:25,299,435,1009
